wmc,cbo,rfc,ca,ce,loc,moa,cbm,amc,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
16,13,60,4,9,483,0,0,28.6875,8,True,True,0.8260970451610464,False,0.3,False,0.4725622891426764,Voting
5,7,26,5,3,288,0,0,56.2,9,False,False,0.4793177441003262,False,0.4,False,0.4901807935109783,Voting
2,14,6,11,3,106,0,0,7.0,0,True,False,0.13435358653153112,False,0.2,True,0.5126348989947741,AdaBoost
4,78,4,78,1,4,0,0,0.0,1,False,True,0.9954774805689705,True,0.9,True,0.6209801495792127,Voting
6,14,22,5,9,146,0,0,23.33333333,4,False,False,0.11215370746454548,False,0.2,False,0.2848027810680484,Voting
11,5,59,1,4,1312,0,0,114.54545449999999,10,True,True,0.9665632452532918,True,0.6,True,0.6513137383130863,Voting
4,9,36,0,9,371,0,0,89.25,23,True,False,0.1669509041553546,False,0.1,False,0.18652007485144967,Voting
1,0,2,0,0,7,0,0,3.0,0,False,False,0.0613661572462228,False,0.0,False,0.0491903507039719,Voting
3,7,16,2,5,70,0,2,22.33333333,8,True,False,0.4777318484162379,True,1.0,True,0.8271716911187825,Voting
7,9,22,0,9,114,1,0,14.57142857,5,False,False,0.1281287268518296,True,0.7,False,0.4327268223540147,Voting
3,10,21,0,10,107,0,0,34.66666667,11,False,False,0.08751701225941177,False,0.3,False,0.22878617954742994,Voting
15,23,75,10,13,940,0,0,61.6,12,True,True,0.9858705812092122,True,0.7,True,0.7311294972934056,Voting
4,4,10,1,4,43,1,1,9.5,2,False,False,0.13900204583574602,False,0.1,False,0.25063953592517585,Voting
6,3,15,1,2,60,1,0,8.666666667000001,1,False,False,0.11946758333828054,False,0.2,False,0.1791062036491301,Voting
