cbo,rfc,lcom,loc,cam,amc,max_cc,bug
3,1,0,1,1.0,0.0,1,False
4,19,0,101,0.666666667,32.0,1,False
3,2,0,4,1.0,3.0,0,False
4,14,0,108,0.75,25.5,1,False
3,18,4,147,0.75,35.5,1,False
9,25,4,137,0.5,26.0,2,False
6,9,15,42,0.7142857140000001,4.571428571,1,False
4,3,0,13,0.75,5.0,1,False
18,70,136,515,0.167464115,24.15,7,True
4,11,0,35,0.666666667,10.33333333,2,False
4,23,0,150,0.47619047600000003,20.0,4,False
6,53,23,380,0.36,32.72727273,1,True
10,39,0,247,0.454545455,21.09090909,2,False
8,32,16,140,0.235294118,6.8823529410000015,1,False
5,16,6,284,0.541666667,34.25,13,False
17,105,344,874,0.243386243,29.89285714,9,False
8,14,6,79,0.333333333,18.25,2,False
2,9,0,1107,0.7142857140000001,137.125,3,False
10,34,10,171,0.46666666700000003,32.6,7,False
5,20,3,71,1.0,22.33333333,3,False
1,11,7,105,0.7142857140000001,13.57142857,7,False
4,17,16,89,0.4375,10.0,6,False
6,21,0,90,0.46428571399999996,11.57142857,3,False
8,31,46,223,0.270833333,17.16666667,1,False
24,109,653,1212,0.146341463,27.19047619,40,True
8,11,15,121,0.4,11.0,4,True
9,13,12,109,0.5,12.25,3,False
14,1,0,1,1.0,0.0,1,False
7,14,3,52,0.5555555560000001,16.33333333,3,False
10,16,3,105,0.666666667,34.0,2,False
4,2,1,2,0.75,0.0,1,False
15,111,1836,888,0.12109375,12.546875,6,False
9,46,34,386,0.333333333,30.5,3,False
3,10,0,32,0.666666667,9.333333332999999,1,False
38,121,1145,1035,0.061743340999999986,16.40677966,8,True
4,21,3,108,0.428571429,13.71428571,2,False
5,14,91,14,0.271428571,0.0,1,False
5,4,6,4,0.4,0.0,1,False
7,52,48,355,0.195804196,25.76923077,2,False
15,56,191,850,0.1875,35.04347826,11,False
8,5,6,16,0.875,3.0,1,False
12,32,70,155,0.083333333,10.61538462,2,False
1,6,1,20,0.75,9.0,1,False
47,98,0,327,0.073412698,6.761904762,6,False
22,135,316,1367,0.17630854,39.81818182,10,False
8,21,1,167,1.0,78.5,1,True
16,25,28,122,0.3125,14.25,6,False
10,104,429,1038,0.108333333,33.26666667,9,True
2,15,0,143,0.39285714299999996,18.71428571,1,False
3,39,58,213,0.4,16.33333333,2,True
8,26,0,98,0.282051282,6.307692307999999,1,True
11,18,6,97,0.5,23.25,1,False
10,45,2,336,0.35,40.25,2,True
11,28,36,214,0.5555555560000001,16.25,1,False
7,14,0,51,0.46666666700000003,8.8,1,False
8,21,22,135,0.666666667,13.66666667,4,False
4,8,0,37,0.625,8.0,3,False
4,8,1,25,1.0,11.5,1,False
19,56,60,362,0.25,21.1875,2,False
7,24,77,109,0.333333333,5.933333332999999,2,False
3,4,1,12,0.75,5.0,1,True
150,26,41,134,0.3,10.72727273,4,False
12,28,6,143,0.288888889,14.77777778,4,False
5,26,6,129,1.0,30.75,5,False
3,20,34,177,0.333333333,18.55555556,4,False
11,52,282,300,0.13961039,9.285714286000001,3,False
6,20,39,129,0.525,11.8,4,False
5,16,3,95,0.666666667,30.66666667,2,False
12,111,528,1006,0.222222222,26.38888889,3,False
5,42,69,538,0.247619048,34.33333333,1,True
9,14,3,52,0.5555555560000001,16.33333333,3,False
22,1,0,1,1.0,0.0,1,False
3,7,1,23,1.0,10.5,1,False
11,60,39,305,0.268518519,15.77777778,4,True
15,32,1,209,0.342857143,28.28571429,9,False
4,13,9,70,0.4,10.5,1,False
9,41,48,285,0.355769231,20.69230769,1,False
11,40,0,289,0.179487179,21.07692308,4,False
6,14,2,68,0.5,15.5,1,True
17,85,74,461,0.15625,25.82352941,1,True
16,86,41,451,0.243589744,30.35714286,3,False
6,32,3,185,0.666666667,60.66666667,12,False
4,1,0,1,1.0,0.0,1,False
2,36,0,335,0.642857143,45.57142857,9,False
2,5,1,11,0.75,4.5,1,False
3,19,4,107,0.7,20.2,1,False
8,13,10,53,0.56,9.6,1,False
6,4,3,20,0.5,5.666666667,2,False
14,26,82,183,0.546875,10.0625,2,True
8,52,101,519,0.194444444,27.05555556,7,True
3,8,1,49,0.666666667,14.33333333,4,False
8,43,3,250,0.5555555560000001,82.33333333,9,True
6,25,1,104,0.342857143,13.42857143,3,False
26,103,134,1167,0.226190476,44.76,29,True
10,43,61,184,0.38888888899999996,8.833333332999999,1,False
9,39,82,297,0.2109375,17.1875,8,False
2,11,3,25,0.666666667,7.333333333,1,False
6,22,3,82,1.0,26.0,3,False
13,93,519,807,0.171428571,21.74285714,7,True
4,16,0,46,0.5,10.25,1,False
3,4,0,14,0.666666667,5.5,1,False
9,20,21,146,0.228571429,13.3,1,False
9,22,21,103,0.571428571,13.71428571,3,False
7,18,3,82,0.583333333,25.66666667,1,False
10,20,2,112,0.5,26.5,4,False
8,14,6,79,0.333333333,18.25,2,False
8,25,0,91,0.27777777800000003,6.416666667,2,True
16,140,400,1196,0.218637993,35.3125,28,True
7,27,0,169,0.305555556,27.0,6,False
4,23,0,298,0.36,28.7,6,False
23,1,0,1,1.0,0.0,1,False
6,64,213,409,0.194805195,16.60869565,6,False
9,32,9,182,0.35714285700000004,29.16666667,3,True
10,45,3,459,0.267857143,31.35714286,6,False
26,154,449,1711,0.178947368,42.33333333,13,False
20,71,182,515,0.179166667,19.12,11,True
1,19,0,108,0.533333333,20.2,3,False
9,36,0,179,0.5,42.5,6,True
7,49,75,402,0.32592592600000003,25.53333333,1,True
13,96,181,856,0.22727272699999998,35.86956522,5,True
24,68,151,386,0.152777778,20.0,4,True
7,33,0,305,0.9375,36.625,5,True
14,44,77,331,0.240740741,16.94444444,6,False
14,65,222,348,0.23809523800000001,12.91666667,4,False
5,23,9,160,0.5555555560000001,25.0,4,False
6,33,3,292,0.333333333,47.0,14,True
4,11,0,53,0.666666667,16.33333333,1,False
34,261,3726,2704,0.11247576,28.02173913,15,True
10,10,3,46,0.5,6.5,3,False
9,26,0,141,0.314285714,19.0,3,False
8,34,8,216,1.0,42.0,11,True
2,18,0,83,0.75,40.0,6,False
